1.154371974875295e-05,2.0466636432869273e-05,1.492765865555861e-05,1.4569583070706858e-05,3.616796961410375e-05,5.544461170021988e-05,3.599690473333127e-05,5.498901964490957e-05,6.339652008323672e-05,3.812726198083966e-05,5.776067175938854e-06
1.1895539719318436e-05,2.108688256647434e-05,1.5380044791172807e-05,1.501111764320412e-05,3.72640482681158e-05,5.712487343492616e-05,3.708779922670985e-05,5.6655474557389145e-05,6.531776623399619e-05,3.9282717441541764e-05,5.951112222792065e-06
1.1517434857427951e-05,2.0409778544315304e-05,1.488618847285451e-05,1.4529107649490036e-05,3.606749221556847e-05,5.5290582308858516e-05,3.589690256617845e-05,5.483625592328304e-05,6.322039967940655e-05,3.802134151756837e-05,5.760020817522953e-06
1.1287899105227206e-05,1.9999524117577456e-05,1.4586963044955708e-05,1.4237059858926709e-05,3.5342504028624564e-05,5.417919317252511e-05,3.517534338061571e-05,5.3733999145268056e-05,6.194961426778155e-05,3.725707924817503e-05,5.644239353585944e-06
1.1184610437815088e-05,1.9819437750615468e-05,1.4455614260638083e-05,1.4108861789255588e-05,3.5024261298825786e-05,5.369133486119677e-05,3.485860585432187e-05,5.325014959807282e-05,6.139178694636164e-05,3.6921596663390836e-05,5.593415616307225e-06
1.1052176343215624e-05,1.957741040045431e-05,1.427908785971405e-05,1.3936569796131942e-05,3.4596558492107994e-05,5.303567693252181e-05,3.443292596817213e-05,5.259987925412695e-05,6.064209405884142e-05,3.647072432702085e-05,5.525110976337162e-06
9.735452669421562e-06,1.725388707021068e-05,1.2584390088252189e-05,1.2282523402737145e-05,3.0490504159166906e-05,4.674119619337775e-05,3.0346292180603226e-05,4.635712068110721e-05,5.3444854104302954e-05,3.214223669196825e-05,4.869369282563064e-06
9.946732826869072e-06,1.7621003142873727e-05,1.2852151888666158e-05,1.2543862296150325e-05,3.113925965958719e-05,4.773572248813438e-05,3.09919792399826e-05,4.734347488727317e-05,5.458201611672254e-05,3.2826136595389676e-05,4.972976297033849e-06
9.744602149069302e-06,1.727270713929321e-05,1.2598116797477692e-05,1.2295920844021342e-05,3.052376236888519e-05,4.679218021441486e-05,3.0379393087831462e-05,4.640768576305862e-05,5.3503150292417304e-05,3.217729656645034e-05,4.874680657670207e-06
9.903827950279467e-06,1.7554223492482274e-05,1.2803445115110527e-05,1.249632387101621e-05,3.102124884847415e-05,4.755481480466742e-05,3.087452658863215e-05,4.7164053734251746e-05,5.437516251568851e-05,3.270173289897306e-05,4.9541298320608715e-06
9.144736726777804e-06,1.621083108832634e-05,1.1823621033342805e-05,1.1540003212606855e-05,2.864724978845773e-05,4.39155323825773e-05,2.8511755913025715e-05,4.355467553743602e-05,5.021393144046589e-05,3.019912948857269e-05,4.574999397243116e-06
7.789573696965955e-06,1.380826328866954e-05,1.0071270952383006e-05,9.829687438203967e-06,2.4401510657905873e-05,3.740691826943999e-05,2.4286097999802566e-05,3.7099543138573476e-05,4.2771846940559285e-05,2.572339004673993e-05,3.896949877426645e-06
