2.6685396054707366e-10,0.0,1.4179270877221766e-08,5.293094806222449e-10,1.1591058352007829e-09,3.190855244341734e-09,2.379216180487145e-09,1.731040885283652e-08,1.2100615424923793e-07,9.058477638314897e-08,1.003863743683943e-07,4.261938458824452e-08
4.530259341844616e-10,0.0,2.4071508708504948e-08,8.985848343415723e-10,1.9677617028204662e-09,5.4169710464548475e-09,4.039088011218933e-09,2.938710044098401e-08,2.054266909078154e-07,1.5378168965428393e-07,1.704214205192977e-07,7.235300715745006e-08
5.462025986170892e-11,0.0,2.902244577429814e-09,1.0834023718285128e-10,2.37248350356493e-10,6.531113207753866e-10,4.869832389932482e-10,3.54313283533811e-09,2.4767807741768542e-08,1.854109272134858e-08,2.0547305512481816e-08,8.723430061085355e-09
5.49779194114455e-11,0.0,2.9212487984169914e-09,1.0904966113190022e-10,2.3880187899914485e-10,6.57387966501859e-10,4.901720595230036e-10,3.5663336640736815e-09,2.4929990107566718e-08,1.8662501863141968e-08,2.068185155925092e-08,8.780552053468873e-09
1.90285937340557e-11,0.0,1.0110833071941054e-09,3.7743547240956164e-11,8.265252645151675e-11,2.2753077370215448e-10,1.696551102751774e-10,1.2343558130287582e-09,8.62860323979732e-09,6.459341674193216e-09,7.15826563103991e-09,3.0390665848188515e-09
3.1354486491822966e-11,0.0,1.666018957606301e-09,6.219217030221441e-11,1.3619122675897142e-10,3.749152811933879e-10,2.7955028825233185e-10,2.0339176508060536e-09,1.4217835931896881e-08,1.064342137417602e-08,1.1795077774540525e-08,5.0076413167051076e-09
5.5984003018037015e-12,0.0,2.974706996877857e-10,1.11045245496381e-11,2.431718998776409e-11,6.694180189910836e-11,4.9914209838177906e-11,3.6315967710350015e-10,2.538620334059223e-09,1.9004021465620447e-09,2.1060324808702224e-09,8.941234188631292e-10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
