3.322510099905213e-06,4.193754549744284e-06,6.380820619697704e-06,8.865067856743135e-06,7.39627559180136e-06,1.2966356440181379e-05,1.663215090386514e-05,3.683641333372546e-06
3.4237387413302554e-06,4.320847247818996e-06,6.574192859028589e-06,9.13372578108389e-06,7.620421428071986e-06,1.3359304860179292e-05,1.7136192069862056e-05,3.7952749328702544e-06
3.3148512968490554e-06,4.182103977380126e-06,6.363094209749121e-06,8.840440017094184e-06,7.3757281699183145e-06,1.2930334905727243e-05,1.6585945510731465e-05,3.673407894717755e-06
3.2487563438949393e-06,4.0980400241102345e-06,6.235190442364704e-06,8.662739428944809e-06,7.227469572915219e-06,1.2670423847762576e-05,1.625255347746486e-05,3.5995691783029956e-06
3.2190555523880893e-06,4.061139089104575e-06,6.179045466740276e-06,8.584735509325246e-06,7.162389587508434e-06,1.2556332603131077e-05,1.61062068297944e-05,3.5671567402800724e-06
3.180872534757547e-06,4.011546020686611e-06,6.1035893403022774e-06,8.479902021448333e-06,7.074925240916024e-06,1.2402999499239995e-05,1.5909524027324805e-05,3.5235959942930845e-06
2.8019936435921636e-06,3.5354401119503337e-06,5.37919158082692e-06,7.473474216034494e-06,6.235245552911095e-06,1.0930963202712472e-05,1.402131974011719e-05,3.105401895501398e-06
2.862736078003664e-06,3.61066471981713e-06,5.493646235550192e-06,7.632489543547334e-06,6.367914721902387e-06,1.1163544548879536e-05,1.43196555189245e-05,3.1714764526882915e-06
2.804580591683327e-06,3.539296473526905e-06,5.385059056181741e-06,7.4816260777257125e-06,6.242046788573229e-06,1.0942886399020438e-05,1.4036613812986884e-05,3.1087891831290802e-06
2.850471892436078e-06,3.5969811102226535e-06,5.472826548270769e-06,7.603564119767437e-06,6.343781753114897e-06,1.1121237218470533e-05,1.426538723569872e-05,3.1594572681380126e-06
2.6320128226218603e-06,3.3217107683909633e-06,5.05400120875299e-06,7.021677356881992e-06,5.85830381531792e-06,1.0270149409858104e-05,1.317368341507756e-05,2.9176698203998913e-06
2.241971025764589e-06,2.829408104300141e-06,4.304959996898001e-06,5.981011654716214e-06,4.990058872748318e-06,8.748035575265256e-06,1.1221243876136812e-05,2.4852490813070537e-06
