1.1599373421080817e-08,1.4641016459281307e-08,2.2276387091469637e-08,3.094926106515607e-08,2.582149035964617e-08,4.52674651808555e-08,5.806529501150423e-08,1.2860135888325874e-08
1.9691733145975133e-08,2.4855393359267595e-08,3.781761773997541e-08,5.254116475399962e-08,4.383597968054236e-08,7.684853415582756e-08,9.857483270008571e-08,2.1832072728484886e-08
2.374185450324887e-09,2.9967556861665315e-09,4.55958026338325e-09,6.334763323134168e-09,5.2851998545162745e-09,9.265445063623214e-09,1.1884933227047547e-08,2.6322411053492264e-09
2.3897318812884946e-09,3.0163787764282505e-09,4.589436903174389e-09,6.376244059468569e-09,5.319807932270209e-09,9.326116230658208e-09,1.196275709455381e-08,2.649477313505704e-09
8.271181883411289e-10,1.0440090658056442e-09,1.5884655373191039e-09,2.206903408781133e-09,1.8412567257920388e-09,3.22789364838774e-09,4.140470340244765e-09,9.170195588704222e-10
1.3628892615994458e-09,1.7202725860166272e-09,2.6174042038356532e-09,3.636439144504127e-09,3.0339424943158902e-09,5.3187823130765406e-09,6.822486368010137e-09,1.5110248173453357e-09
2.433463439260347e-10,3.071577832171405e-10,4.67342257016943e-10,6.49292789706251e-10,5.417159225446981e-10,9.496782068021252e-10,1.2181672868946708e-09,2.697962154687222e-10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
