7.263979863276507e-08,9.168775318918007e-08,1.3950342090453226e-07,1.9381633903776272e-07,1.617042397060625e-07,2.834825154759657e-07,3.636275153899435e-07,8.053518473853417e-08
4.3680854412963726e-08,5.5135056455151296e-08,8.388829172624753e-08,1.1654855117595837e-07,9.723842143710843e-08,1.704679627448884e-07,2.186619574841631e-07,4.842862653666942e-08
9.443513945463345e-08,1.1919837226526518e-07,1.813609791805731e-07,2.51970315861556e-07,2.1022308313723093e-07,3.68540543693741e-07,4.727327962319275e-07,1.0469951107983463e-07
7.972762078580474e-08,1.0063417788264796e-07,1.5311545529508416e-07,2.1272795178049494e-07,1.7748251709671718e-07,3.111432977331959e-07,3.9910843917478835e-07,8.839339851710942e-08
6.562369746443463e-08,8.28318564992072e-08,1.260291253693448e-07,1.7509609106957786e-07,1.460856211735223e-07,2.561016299907595e-07,3.285056196305338e-07,7.275648746278391e-08
4.9290361122883344e-08,6.221551477707413e-08,9.466124801673673e-08,1.3151574649846833e-07,1.0972580486501979e-07,1.9235950295615276e-07,2.4674258306248377e-07,5.464784338030822e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
