7.643731664901817e-08,0.0,4.061492719360303e-06,1.516147494783493e-07,3.320128341859023e-07,9.139846086335476e-07,6.814997243868253e-07,4.958371987793015e-06,3.466085236234416e-05,2.5946990712764178e-05,2.8754548252208738e-05,1.2207843527895711e-05
7.878039220228906e-08,0.0,4.184577192185681e-06,1.562094694006919e-07,3.420745596377868e-07,9.416831228246274e-07,7.021527305850005e-07,5.1086365935327835e-06,3.571125748072863e-05,2.6733320245761238e-05,2.962596146343626e-05,1.2577805039288595e-05
7.630256002132114e-08,0.0,4.050209580523222e-06,1.5119355205505734e-07,3.3109047702249896e-07,9.114454891652275e-07,6.796064657897988e-07,4.94459724943697e-06,3.456456185133284e-05,2.5874907978940464e-05,2.867466590782321e-05,1.2173929200591854e-05
7.47953012212983e-08,0.0,3.968796820163384e-06,1.4815442922037657e-07,3.244352684148064e-07,8.93124636450026e-07,6.65945780524422e-07,4.845206513490828e-06,3.386978388120572e-05,2.5354799663372708e-05,2.809828000542987e-05,1.19292225598759e-05
7.409971966290681e-08,0.0,3.933059659801386e-06,1.4682036783217704e-07,3.215138804627896e-07,8.850824665425347e-07,6.599492500318337e-07,4.8015776934716425e-06,3.356480230798953e-05,2.512649154316035e-05,2.7845268127031664e-05,1.182180548640659e-05
7.325048419374406e-08,0.0,3.8850306481076565e-06,1.4502745397542527e-07,3.1758767662655696e-07,8.742741799126711e-07,6.518902036433413e-07,4.74294267363069e-06,3.3154921853079374e-05,2.4819656493470355e-05,2.7505232423490923e-05,1.1677442145125286e-05
6.448965004587348e-08,0.0,3.4239400766304297e-06,1.2781503078231925e-07,2.7989513399984927e-07,7.705119145004096e-07,5.745213348328156e-07,4.180031760963034e-06,2.9219966572362235e-05,2.1873962975707e-05,2.4240804292675848e-05,1.0291517821797052e-05
6.591729599493467e-08,0.0,3.4967922651750266e-06,1.3053458910197031e-07,2.8585054578232985e-07,7.86906325037607e-07,5.867455956759912e-07,4.268971536530534e-06,2.984168846770904e-05,2.2339381773717038e-05,2.4756583075387677e-05,1.0510493498936089e-05
6.452106097066098e-08,0.0,3.4276748170117948e-06,1.2795444792926824e-07,2.8020043597246023e-07,7.713523678661237e-07,5.75148007023664e-07,4.184591225516636e-06,2.9251838914359338e-05,2.189782249748527e-05,2.426724550036127e-05,1.0302743528536763e-05
6.559761127727443e-08,0.0,3.4835402066476792e-06,1.3003989228173012e-07,2.8476723631596325e-07,7.83924126529908e-07,5.845219614464149e-07,4.252793091726393e-06,2.9728595160432138e-05,2.2254720526413803e-05,2.4662761177209878e-05,1.0470661085559304e-05
6.056185922234076e-08,0.0,3.2169512883063805e-06,1.200881787466173e-07,2.6297452401609006e-07,7.239318564379923e-07,5.397895719217102e-07,3.927334666389678e-06,2.745352050720953e-05,2.055160773850832e-05,2.2775365471830802e-05,9.669360670599028e-06
5.158822788053835e-08,0.0,2.74017477165295e-06,1.0229020220833722e-07,2.2399971019632786e-07,6.166396788841725e-07,4.5978867394038865e-07,3.3452739591666843e-06,2.3384701086511394e-05,1.7505704002007453e-05,1.939988401687688e-05,8.236288272035927e-06
